PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Viola, C				Viola, C			Minimal light deflection by double refracting prisms and the total reflexion of optically birefringent crystals.	ZEITSCHRIFT FUR KRYSTALLOGRAPHIE UND MINERALOGIE			German	Article																DESENARMONT H, 1857, NOUV ANN MATH, V16, P273; LIEBISCH T, 1900, N JB MIN, V1, P57; LIEBISCH T, 1888, NACHR GES WISS GOTT, P197; VIOLA C, 1900, R ACCAD LINCEI, V1, P196; Viola C, 1900, Z KRYSTALLOGR MINERA, V32, P545; VONLANG V, 1858, SITZ BER AKAD WISS W, V33, P155	6	0	0	R OLDENBOURG VERLAG	MUNICH	LEKTORAT MINT, POSTFACH 80 13 60, D-81613 MUNICH, GERMANY	0372-9176			Z KRYSTALLOGR MINERA	Z Krystallogr. Mineral	OCT	1902	36	4					358	368				11	Crystallography	Crystallography	V01NX	WOS:000200103700003		
J	Freundlich, E				Freundlich, E			The observation of light deflection during total sun obscurity on the 21(st) September 1922.	NATURWISSENSCHAFTEN			German	Article																STRUVE G, 1921, A N	1	0	0	SPRINGER	NEW YORK	233 SPRING STREET, NEW YORK, NY 10013 USA	0028-1042			NATURWISSENSCHAFTEN	Naturwissenschaften		1923	11						962	965				4	Multidisciplinary Sciences	Science & Technology - Other Topics	V40TV	WOS:000202755500119		
J	Trumpler, R				Trumpler, R.			Historical note on the problem of light deflection in the sun's gravitational field	SCIENCE			English	Letter																BODE, 1804, ASTRON JB, P161; Einstein A., 1916, ANN PHYS, V49, P769; PUNNETT RC, 1912, J GENET, V2; 1921, ANN PHYS, V65, P593; 1923, JOURNAL         0513; 1908, JB RADIOAKTIVATAT EL, V4, P411; 1911, ANN PHYS, V35, P898; 1923, JOURNAL         0527; 1923, JOURNAL         0520	9	1	1	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005 USA	0036-8075			SCIENCE	Science	AUG 31	1923	58	1496					161	163				3	Multidisciplinary Sciences	Science & Technology - Other Topics	V42XV	WOS:000202901100005		
J	von Gleich, G				von Gleich, G.			Light deflection near the sun.	ZEITSCHRIFT FUR PHYSIK			German	Article																BODE, 1804, ASTRON JB, P161; Einstein A, 1911, ANN PHYS-BERLIN, V35, P898; EINSTEIN A, 1916, GRUNDLAGE ALLG REL T, P63; LENARD P, 1928, ATHER URATHER, P43; LEVI T, 1928, ABSOLUTE DIFFERENTIA, P219; MOHOROVICIC S, 1928, GEHRCKES HDB PHYS OP, V2, P99; MOHOROVICIC S, 1924, ASTRON NACHR, V222, P74; MOHOROVICIC S, 1928, GEHRCKES HDB PHYS OP, V2, P997; STRAUBEL R, 1927, E GEHRCKES HDB PHYS, V1, P234; VONSOLDNER J, 1924, Z PHYS, V25, P242; WODETZKY J, 1922, ASTRON NACHR, V217, P397, DOI 10.1002/asna.19222172002; 1924, Z PHYS, V25, P245; 1925, ASTROPHYS J, V61, P27; 1923, RAUM ZEIT MAT, P258; 1928, Z PHYS, V50, P725	15	0	0	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0044-3328			Z PHYS	Z. Phys.	SEP	1928	51	9-10					740	753				14	Physics, Multidisciplinary	Physics	V09OO	WOS:000207405900012		
J	Harnapp, GO; Mobius, E				Harnapp, GO; Mobius, E			The determination of erthrocyte size from light deflection (Diffractometry, erthrocytometry).	PFLUGERS ARCHIV FUR DIE GESAMTE PHYSIOLOGIE DES MENSCHEN UND DER TIERE			German	Article																AUB, 1933, MED KLIN, V1, P779; Bergansius FL, 1921, PFLUG ARCH GES PHYS, V192, P118, DOI 10.1007/BF01846448; BOCK, 1933, KLIN WSCHR, V1, P782; BOCK HE, 1933, KLIN WOCHENSCHR, P1141; Collatz B, 1928, PFLUG ARCH GES PHYS, V220, P691, DOI 10.1007/BF01780321; GRIMSEHL, LEHRBUCH PHYS, V1; HORNEFFER L, 1928, PFLUGERS ARCH, V220, P6703; KRUGER, 1933, DTSCH MED WSCHR, V2, P1855; NAEGELI, BLUTKRANKHEITEN BLUT; NAEGELI O, BLUTKRANKHEITEN BLUT; Ohno M, 1925, PFLUG ARCH GES PHYS, V210, P315, DOI 10.1007/BF01722890; Ohno M, 1923, PFLUG ARCH GES PHYS, V201, P376, DOI 10.1007/BF01722311; PIJPER A, 1919, MED J S AFRICA, V14, P472; PIJPER A, 1919, MED S J AFRICA, V14, P211; VONLAUE M, HDB EXPERIMENTALPHYS, V18, P302; WESTPHAL, 1930, LEHRBUCH PHYS, P455; WINKELMANN A, HDB PHYS, V6; 1934, MUNCH MED WSCHR, V2, P1646; 1934, MUNCH MED WSCHR, V2, P1686; 1934, MED KLIN, V1, P263	20	0	0	SPRINGER	NEW YORK	233 SPRING STREET, NEW YORK, NY 10013 USA				PFLUG ARCH GES PHYS			1935	236						261	276		10.1007/BF01752342		16	Physiology	Physiology	V17XB	WOS:000201209100025		
J	Korff, W				Korff, W			Photometric tests of light deflection in ultra sonic waves in liquids and gas	PHYSIKALISCHE ZEITSCHRIFT			German	Article																Kneser HO, 1931, ANN PHYS-BERLIN, V11, P761; Bar R, 1933, PHYS Z, V34, P393; Becker HER, 1936, ANN PHYS-BERLIN, V25, P0373; Biquard P., 1933, Comptes Rendus Hebdomadaires des Seances de l'Academie des Sciences, V196; Biquard P, 1933, CR HEBD ACAD SCI, V197, P309; Brillouin L., 1922, Annales de Physique, V17; BRILLOUIN L, 1933, DIFFRACTION LUMIERE; Debye P, 1932, P NATL ACAD SCI USA, V18, P409, DOI 10.1073/pnas.18.6.409; Debye P, 1932, PHYS Z, V33, P849; Goos F., 1927, Zeitschrift fur Physik, V44, DOI 10.1007/BF01390858; Grossmann E, 1932, ANN PHYS-BERLIN, V13, P681; Lucas R, 1932, J PHYS-PARIS, V3, P464, DOI 10.1051/jphysrad:01932003010046400; MEIDINGER W, 1925, Z PHYS CHEM, V114, P96; Neklepajev N, 1911, ANN PHYS-BERLIN, V35, P175; POLLAHN, KATHODENZERSTAUBUNGS; RALEIGH, 1899, SCI PAPERS, V1, P135; SCHAEFER C, 1934, BERL BER, P192; SHEPPARD SE, 1912, THEORIE PHOTOGRAPHIS, P66	18	13	13	S HIRZEL VERLAG	STUTTGART	POSTFACH 10 10 61, D-70 009 STUTTGART, GERMANY				PHYS Z			1936	37						708	720				13	Physics, Multidisciplinary	Physics	V15GW	WOS:000201031800154		
J	Hermann, H				Hermann, H.			The Lenard-Tomascheksche amount the light deflection in the gravitational field.	ZEITSCHRIFT FUR PHYSIK			German	Article																Hermann H., 1927, UNTERRICHTSBL MATH N, V33, P211; Hermann H., 1927, UNTERRICHTSBL MATH N, V33, P331; Hermann H., 1927, UNTERRICHTSBL MATH N, V33, P207; Popoff A., 1926, Z PHYS, V40, P136; von Tomaschek R., 1936, GRIMSEHLS LEHRBUCH P, V2, P214	5	0	0	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0044-3328			Z PHYS	Z. Phys.	MAY 22	1936	100	5					667	668		10.1007/BF01336725		2	Physics, Multidisciplinary	Physics	V11PP	WOS:000207543800018		
J	David, E				David, E			Intensity formula on the light deflection on weak ultra sonic waves.	PHYSIKALISCHE ZEITSCHRIFT			German	Article																BRILLOUIN L, 1933, ACTUALITES SCI IND, V59; Debye P, 1932, PHYS Z, V33, P849; Korff W, 1936, PHYS Z, V37, P708; Lucas R, 1932, CR HEBD ACAD SCI, V195, P1066; 1936, PHYS Z, V37, P717	5	33	33	S HIRZEL VERLAG	STUTTGART	POSTFACH 10 10 61, D-70 009 STUTTGART, GERMANY				PHYS Z			1937	38						587	591				5	Physics, Multidisciplinary	Physics	V15GX	WOS:000201031900067		
J	David, E				David, E			Graphical inspection of light deflection on weak ultra sonic waves.	PHYSIKALISCHE ZEITSCHRIFT			German	Article																David E, 1937, PHYS Z, V38, P587; Hiedemann E, 1936, Z PHYS, V99, P363, DOI 10.1007/BF01330787; Korff W, 1936, PHYS Z, V37, P708; Lucas R, 1932, CR HEBD ACAD SCI, V195, P1066; Raman C.V., 1935, Proceedings of the Indian Academy of Sciences, Section A, V2	5	3	3	S HIRZEL VERLAG	STUTTGART	POSTFACH 10 10 61, D-70 009 STUTTGART, GERMANY				PHYS Z			1937	38						592	596				5	Physics, Multidisciplinary	Physics	V15GX	WOS:000201031900068		
J	Kochs, AG; Libowitzky, H				Kochs, AG; Libowitzky, H			Chronic-polymorphic light deflection with spring-time catarrh of conjuctiva and lens damage.	DERMATOLOGISCHE WOCHENSCHRIFT			German	Article																BARBER, 1926, GUYS HOSP REP LOND, P314; BERING, ZBL HAUTKRKH, V53, P531; BOTTERI, 1916, WIEN KLIN WSCHR, P15; BOTTERI, 1912, KLIN MBL AUGENHEILK; DELANCO, 1920, DERMAT WSCHR, V70, P201; GALLENGA, ZBL AUGENHEILK, V35, P487; GLAUBERSOHN, 1930, DERMAT WSCHR, V91, P1625; GOLDSCHLAG, ZBL HAUTKRKH, V31, P347; HAUSMANN, 1929, STRAHLENTHER, V11; HERMANS, ZBL HAUTKRKH, V48, P213; HOEDE, ARCH DERMAT, V177, P119; KREIBICH, 1904, WIEN KLIN WSCHR, P147; KREIBICH, 1904, WIEN KLIN WSCHR, P673; KREN, ZBL HAUTKRKH, V55, P613; LOHLEIN, 1939, DERMAT WSCHR, V29, P859; MATRAS, ZBL HAUTKRKH, V49, P585; OHMORI, 1939, JAP J DERMAT, V45, P81; RICCIONI, 1939, POLICLINICO SEZ PRAT, P2155; RIMINGTON, 1935, J VETER SC ANIMAL IN, V4, P463; RUNTOVA, ZBL HAUTKRKH, V52, P344; URBACH, ZBL HAUTKRKH, V59, P281; URBACH, 1938, KLIN WSCHR, V1, P30; ZITZKE, ZBL HAUTKRKH, V48, P587	23	1	1	JOHANN AMBROSIUS BARTH VERLAG MEDIZINVERLAGE HEIDELBERG GMBH	STUTTGART	RUEDIGERSTR 14, D-70469 STUTTGART, GERMANY	0366-8940			DERMATOL WOCHENSCHR	Dermatol. Wochenschr.	JAN-JUN	1942	114	1/26					438	444				7	Dermatology	Dermatology	V40FG	WOS:000202717600037		
J	Freundlich, EF; Ledermann, W				Freundlich, EF; Ledermann, W			The problem of an accurate determination of the relativistic light deflection	MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY			English	Article																AITKEN AC, 1942, STAT MATH, P108; CAMPBELL, 1923, LOB, P346; DYSON, 1920, MRAS, V62; FREUNDLICH, 1933, Z AP, V6, P218; FREUNDLICH, 1935, PUBL ISTANBUL OBS, V2; FREUNDLICH, 1931, ABH PREUSS AK WISS; WHITTAKER, 1924, CALCULUS OBSERVATION, P241; 1933, ANN BOSSCHA OBS LEMB, V5	8	5	5	BLACKWELL PUBLISHING LTD	OXFORD	9600 GARSINGTON RD, OXFORD OX4 2DG, OXON, ENGLAND	0035-8711			MON NOT R ASTRON SOC	Mon. Not. Roy. Astron. Soc.	MAR	1944	104	1					0040	0047				8	Astronomy & Astrophysics	Astronomy & Astrophysics	V7830	WOS:000188269400006		
J	FINLAYFREUNDLICH, E				FINLAYFREUNDLICH, E			ON THE MEASUREMENT OF THE RELATIVISTIC LIGHT DEFLECTION	ASTRONOMICAL JOURNAL			English	Article																1944, M N, V104, P40; 1931, ABH PREUSS ACAD WISS, P32	2	0	0	UNIV CHICAGO PRESS	CHICAGO	5720 SOUTH WOODLAWN AVE, CHICAGO, IL 60637-1603	0004-6256			ASTRON J	Astron. J.		1951	55	8					245	247		10.1086/106473		3	Astronomy & Astrophysics	Astronomy & Astrophysics	XW238	WOS:A1951XW23800004		
