PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	KRUSKAL, MD				KRUSKAL, MD			MAXIMAL EXTENSION OF SCHWARZSCHILD METRIC	PHYSICAL REVIEW			English	Article																Ehlers J., 1957, THESIS HAMBURG; Einstein A, 1935, PHYS REV, V48, P73, DOI 10.1103/PhysRev.48.73; FINKELSTEIN D, 1958, PHYS REV, V110, P965, DOI 10.1103/PhysRev.110.965; FRONSDAL C, 1959, PHYS REV, V116, P778, DOI 10.1103/PhysRev.116.778; Kasner E, 1921, AM J MATH, V43, P130, DOI 10.2307/2370246; Lemaitre G, 1933, ANN SOC SCI BRUXEL A, V53, P51, DOI DOI 10.1023/A:1018855621348; MISNER CW, 1957, ANN PHYS-NEW YORK, V2, P525, DOI 10.1016/0003-4916(57)90049-0; ROBERTSON HP, 1939, UNPUB LECTURE TORONT; Schwarkschid K, 1916, SITZBER K PREUSS AKA, P189; Synge J.L., 1950, Proceedings of the Royal Irish Academy, Section A (Mathematical, Astronomical and Physical Science), V53; WHEELER JA, 1955, PHYS REV, V97, P511, DOI 10.1103/PhysRev.97.511	11	374	377	AMERICAN PHYSICAL SOC	COLLEGE PK	ONE PHYSICS ELLIPSE, COLLEGE PK, MD 20740-3844 USA	0031-899X			PHYS REV			1960	119	5					1743	1745		10.1103/PhysRev.119.1743		3	Physics, Multidisciplinary	Physics	WC102	WOS:A1960WC10200048		
J	NEWMAN, E; TAMBURINO, L; UNTI, T				NEWMAN, E; TAMBURINO, L; UNTI, T			EMPTY-SPACE GENERALIZATION OF SCHWARZSCHILD METRIC	JOURNAL OF MATHEMATICAL PHYSICS			English	Article																BONDI H, 1962, PROC R SOC LON SER-A, V269, P21, DOI 10.1098/rspa.1962.0161; BORN M, 1960, MECHANICS ATOM, pCH3; EHLERS J, 1957, THESIS HAMBURG U; GOLDBERG JL, TO BE PUBLISHED; GOLDSTEIN H, 1951, CLASSICAL MECHANICS, pCH9; KUNDT W, 1961, Z PHYS, V163, P77, DOI 10.1007/BF01328918; MISNER CW, 1963, J MATH PHYS, V4, P924, DOI 10.1063/1.1704019; NEWMAN ET, 1962, J MATH PHYS, V3, P902, DOI 10.1063/1.1724304; NEWMAN ET, 1962, J MATH PHYS, V3, P891, DOI 10.1063/1.1724303; NEWMAN E, 1962, J MATH PHYS, V3, P566, DOI 10.1063/1.1724257; PENROSE R, 1960, ANN PHYS-NEW YORK, V10, P171, DOI 10.1016/0003-4916(60)90021-X; Petrov A.Z., 1954, SCI NOT KAZAN STATE, V114, P55; ROBINSON I, 1962, PROC R SOC LON SER-A, V265, P463, DOI 10.1098/rspa.1962.0036; SACHS R, 1961, PROC R SOC LON SER-A, V264, P309, DOI 10.1098/rspa.1961.0202; TAUB AH, 1951, ANN MATH, V53, P472, DOI 10.2307/1969567	15	394	395	AMER INST PHYSICS	WOODBURY	CIRCULATION FULFILLMENT DIV, 500 SUNNYSIDE BLVD, WOODBURY, NY 11797-2999	0022-2488			J MATH PHYS	J. Math. Phys.		1963	4	7					915	&		10.1063/1.1704018		0	Physics, Mathematical	Physics	5648B	WOS:A19635648B00011		
J	HARVEY, AL				HARVEY, AL			SCHWARZSCHILD METRIC + WHITEHEAD THEORY OF GRAVITATION	AMERICAN JOURNAL OF PHYSICS			English	Note																Birkhoff G., 1923, RELATIVITY MODERN PH; Eddington AS, 1924, NATURE, V113, P192, DOI 10.1038/113192a0; SYNGE JL, 1952, P ROY SOC LONDON, VA211, P303; Whitehead AN, 1922, PRINCIPLE RELATIVITY	4	1	1	AMER INST PHYSICS	WOODBURY	CIRCULATION FULFILLMENT DIV, 500 SUNNYSIDE BLVD, WOODBURY, NY 11797-2999	0002-9505			AM J PHYS	Am. J. Phys.		1964	32	11					893	&		10.1119/1.1969955		0	Education, Scientific Disciplines; Physics, Multidisciplinary	Education & Educational Research; Physics	3412A	WOS:A19643412A00013		
J	LINDQUIS.RW; SCHWARTZ, RA				LINDQUIS.RW; SCHWARTZ, RA			VAIDYAS RADIATING SCHWARZSCHILD METRIC	PHYSICAL REVIEW			English	Article																ARNOWITT R, 1961, PHYS REV, V122, P997, DOI 10.1103/PhysRev.122.997; BONDI H, 1962, P ROY SOC LONDON, VA269, P21; BONDI H, 1960, NATURE, V186, P535, DOI 10.1038/186535a0; COLGATE SA, TO BE PUBLISHED; EREZ G, 1959, B RES COUNCIL ISRAEL, VF  8, P47; FINKELSTEIN D, 1958, PHYS REV, V110, P965, DOI 10.1103/PhysRev.110.965; FULLER RW, 1962, PHYS REV, V128, P919, DOI 10.1103/PhysRev.128.919; GOLDBERG JN, 1958, PHYS REV, V111, P315, DOI 10.1103/PhysRev.111.315; GOLDBERG JN, 1964, P INTERNATIONAL C TH, P189; GREENSTEIN JL, 1964, ASTROPHYS J, V140, P1, DOI 10.1086/147889; ISRAEL W, 1958, P ROY SOC, VA248, P404; KERR RG, UNPUBLISHED; KERR RP, 1963, PHYS REV LETT, V11, P237, DOI 10.1103/PhysRevLett.11.237; KRUSKAL MD, 1960, PHYS REV, V119, P1743, DOI 10.1103/PhysRev.119.1743; Landau L. D., 1951, CLASSICAL THEORY FIE; MISNER CW, 1965, PHYS REV, V137, P1360; MISRA M, 1961, P NATL I SCI INDIA, VA 27, P373; MISRA M, 1960, P NATL I SCI INDIA, VA 26, P673; MOLLER C, 1964, KGL DANSKE VIDEN MFM, V34; Oppenheimer JR, 1939, PHYS REV, V56, P455, DOI 10.1103/PhysRev.56.455; PAPAPETROU A, 1948, P ROY IRISH ACAD, VA 52, P11; RAYCHAUDHURI AK, 1953, Z PHYS, V135, P225, DOI 10.1007/BF01333345; SACHS RK, 1962, PROC R SOC LON SER-A, V270, P103, DOI 10.1098/rspa.1962.0206; Schwarkschid K, 1916, SITZBER K PREUSS AKA, P189; Tolman R. C., 1934, P NATL ACAD SCI USA, V20, P3; Trautman A., 1962, GRAVITATION INTRO CU, P169; Vaidya P.C., 1952, Current Science, V21; VAIDYA PC, 1951, P INDIAN ACAD SCI, VA 33, P264; VAIDYA PC, 1953, NATURE, V171, P260, DOI 10.1038/171260a0; Weyl H, 1917, ANN PHYS-BERLIN, V54, P117; Weyl H, 1919, ANN PHYS-BERLIN, V59, P185; WITTEN L, 1962, GRAVITATION       ED, P169; ZIPOY D, UNPUBLISHED	33	162	162	AMERICAN PHYSICAL SOC	COLLEGE PK	ONE PHYSICS ELLIPSE, COLLEGE PK, MD 20740-3844 USA	0031-899X			PHYS REV			1965	137	5B					1364	&				0	Physics, Multidisciplinary	Physics	62156	WOS:A19656215600032		
J	PETERS, PC				PETERS, PC			EXPANSION OF GENERAL RELATIVITY ABOUT FIRST-ORDER SCHWARZSCHILD METRIC	SCIENCE			English	Meeting Abstract																	0	0	0	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science		1965	150	3694					381	&				0	Multidisciplinary Sciences	Science & Technology - Other Topics	69009	WOS:A19656900900099		
J	PETERS, PC				PETERS, PC			PERTURBATIONS IN SCHWARZSCHILD METRIC	PHYSICAL REVIEW			English	Article																ADLER R, 1965, INTRO GENERAL RELATI, P296; ADLER R, 1965, INTRO GENERAL RELATI, pCH8; Birkhoff G. D., 1923, RELATIVITY MODERN PH, P253; DEWITT BS, 1960, ANN PHYS-NEW YORK, V9, P220, DOI 10.1016/0003-4916(60)90030-0; DEWITT B, 1961, RELATIVITY GROUPS ED; DIRAC PAM, 1938, P ROY SOC, VA167, P148; EDDINGTON AS, 1960, MATHEMATICAL THEORY, P93; IRVINE WM, 1965, ANN PHYS-NEW YORK, V32, P322, DOI 10.1016/0003-4916(65)90020-5; LANCZOS C, 1925, Z PHYS, V31, P112; LANDAU LD, 1962, CLASSICAL THEORY FIE, pCH11; MATHEWS J, 1962, J SOC IND APPL MATH, V10, P768, DOI 10.1137/0110059; PENROSE R, 1961, RELATIVITY GROUPS TO; PETERS PC, 1964, PHYS REV, V136, P1224; REGGE T, 1957, PHYS REV, V108, P1063, DOI 10.1103/PhysRev.108.1063; Robaschik D., 1963, Acta Physica Polonica, V24; ROBINSON I, 2 P TEX C REL ASTR; ROBINSON I, 1965, QUASISTELLAR SOUR ED; ROSS DK, 1966, PHYS REV, V141, P1215, DOI 10.1103/PhysRev.141.1215; SHAPIRO II, 1964, PHYS REV LETT, V13, P789, DOI 10.1103/PhysRevLett.13.789; SHAPIRO II, 1966, PHYS REV, V141, P1219, DOI 10.1103/PhysRev.141.1219; SYNGE JL, 1960, RELATIVITY GENERAL T, pCH2; WHEELER JA, 1945, REV MOD PHYS, V17, P157, DOI 10.1103/RevModPhys.17.157	22	21	21	AMERICAN PHYSICAL SOC	COLLEGE PK	ONE PHYSICS ELLIPSE, COLLEGE PK, MD 20740-3844 USA	0031-899X			PHYS REV			1966	146	4					938	&		10.1103/PhysRev.146.938		0	Physics, Multidisciplinary	Physics	79029	WOS:A19667902900002		
J	FOMIN, PI				FOMIN, PI			COORDINATE TRANSFORMATIONS THAT ELIMINATE SINGULARITIES ON GRAVITATIONAL RADIUS IN SCHWARZSCHILD METRIC	SOVIET PHYSICS JETP-USSR			English	Article																FINKELSTEIN D, 1958, PHYS REV, V110, P965, DOI 10.1103/PhysRev.110.965; Fomin P.I., 1968, Zhurnal Eksperimental'noi i Teoreticheskoi Fiziki, V54; FRONSDAL C, 1959, PHYS REV, V116, P778, DOI 10.1103/PhysRev.116.778; KRUSKAL MD, 1960, PHYS REV, V119, P1743, DOI 10.1103/PhysRev.119.1743; Novikov I. D., 1961, SOV ASTRON, V5, P423; NOVIKOV ID, 1964, SOOBSHCHENYA GAISH, V132, P3; Novikov I.D., 1961, Astronomicheskii Zhurnal, V38; Rylov Y.A., 1961, Zhurnal Eksperimental'noi i Teoreticheskoi Fiziki, V40; RYLOV YA, 1961, SOV PHYS JETP-USSR, V13, P1235	9	1	1	AMER INST PHYSICS	WOODBURY	CIRCULATION FULFILLMENT DIV, 500 SUNNYSIDE BLVD, WOODBURY, NY 11797-2999	0038-5646			SOV PHYS JETP-USSR			1968	27	3					483	&				0	Physics, Multidisciplinary	Physics	C4636	WOS:A1968C463600024		
J	SACKS, WM; BALL, JA				SACKS, WM; BALL, JA			SIMPLE DERIVATIONS OF SCHWARZSCHILD METRIC	AMERICAN JOURNAL OF PHYSICS			English	Article																ADLER R, 1965, INTRODUCTION GENERAL, P194; BALAZS NL, 1959, Z PHYS, V154, P264, DOI 10.1007/BF01338379; Eriksson K.E., 1963, Arkiv for Fysik, V25; ERIKSSON KE, 1963, PHYS LETT, V5, P327, DOI 10.1016/S0375-9601(63)94421-9; KOHLER M, 1951, Z PHYS, V130, P139, DOI 10.1007/BF01337688; LENZ W, CITED INDIRECTLY; Schiff L.I., 1960, American Journal of Physics, V28, DOI 10.1119/1.1935800; Schild A., 1960, American Journal of Physics, V28, DOI 10.1119/1.1936000; SOMMERFELD A, 1952, ELECTRODYNAMICS, P313; TANGHERLINI FR, 1962, NUOVO CIMENTO, V25, P1081, DOI 10.1007/BF02733731	10	10	10	AMER INST PHYSICS	WOODBURY	CIRCULATION FULFILLMENT DIV, 500 SUNNYSIDE BLVD, WOODBURY, NY 11797-2999	0002-9505			AM J PHYS	Am. J. Phys.		1968	36	3					240	&		10.1119/1.1974488		0	Education, Scientific Disciplines; Physics, Multidisciplinary	Education & Educational Research; Physics	B0087	WOS:A1968B008700010		
J	STACHEL, J				STACHEL, J			BEHAVIOUR OF WEYL-LEVI CIVITA COORDINATES FOR A CLASS OF SOLUTIONS APPROXIMATING SCHWARZSCHILD METRIC	NATURE			English	Letter																ISRAEL W, 1967, NATURE, V216, P148, DOI 10.1038/216148a0; ISRAEL W, 1967, PHYS REV, V164, P1776, DOI 10.1103/PhysRev.164.1776; MYSAK L, 1966, CAN J PHYS, V44, P617; STACHEL J, 1968, PHYS LETT A, VA 27, P60, DOI 10.1016/0375-9601(68)91338-8; ZELDOVIC.YB, 1965, SOV PHYS USPEKHI, V7, P763, DOI 10.1070/PU1965v007n06ABEH003683; ZELDOVIC.YB, 1966, SOV PHYS USPEKHI, V8, P522, DOI 10.1070/PU1966v008n04ABEH002990	6	0	0	MACMILLAN MAGAZINES LTD	LONDON	PORTERS SOUTH, 4 CRINAN ST, LONDON N1 9XW, ENGLAND	0028-0836			NATURE	Nature		1968	219	5161					1346	&		10.1038/2191346a0		0	Multidisciplinary Sciences	Science & Technology - Other Topics	B8360	WOS:A1968B836000019		
J	KARLOV, L				KARLOV, L			HOW TO GET QUASIUNIFORM GRAVITATIONAL FIELD FROM SCHWARZSCHILD METRIC	AMERICAN JOURNAL OF PHYSICS			English	Note																Kottler F, 1918, ANN PHYS-BERLIN, V56, P401; KOTTLER F, 1918, ANN PHYSIK, V56, P454; ROMAIN JE, 1963, REV MOD PHYS, V35, P376, DOI 10.1103/RevModPhys.35.376; ROMAIN JE, 1963, REV MOD PHYS, V35, P377; SYNGE JL, 1958, P EDINBURGH MATH SOC, V11, P42; SYNGE JL, 1958, P EDINBURGH MATH SOC, V11, P39; Whittaker ET, 1927, P R SOC LOND A-CONTA, V116, P720, DOI 10.1098/rspa.1927.0160; WHITTAKER ET, 1927, P ROYAL SOC A, V116, P722	8	1	1	AMER INST PHYSICS	WOODBURY	CIRCULATION FULFILLMENT DIV, 500 SUNNYSIDE BLVD, WOODBURY, NY 11797-2999	0002-9505			AM J PHYS	Am. J. Phys.		1969	37	6					667	&		10.1119/1.1975745		0	Education, Scientific Disciplines; Physics, Multidisciplinary	Education & Educational Research; Physics	D9244	WOS:A1969D924400016		
