count: 00001	high: 0.9463	 avg: 0.9463	   word: partially-relativistic model
count: 00001	high: 0.9917	 avg: 0.9917	   word: maximum mass
count: 00001	high: 0.4246	 avg: 0.4246	   word: v/c
count: 00001	high: 0.4257	 avg: 0.4257	   word: parameters
count: 00001	high: 0.4266	 avg: 0.4266	   word: quantity
count: 00001	high: 0.4282	 avg: 0.4282	   word: binary
count: 00001	high: 0.4356	 avg: 0.4356	   word: Wiseman
count: 00001	high: 0.4386	 avg: 0.4386	   word: Eardley
count: 00001	high: 0.4413	 avg: 0.4413	   word: Pati
count: 00001	high: 0.5326	 avg: 0.5326	   word: generic case
count: 00001	high: 0.5382	 avg: 0.5382	   word: small set
count: 00001	high: 0.5389	 avg: 0.5389	   word: single parameter
count: 00001	high: 0.5444	 avg: 0.5444	   word: direct integration
count: 00001	high: 0.5506	 avg: 0.5506	   word: internal gravity
count: 00001	high: 0.5554	 avg: 0.5554	   word: general class
count: 00001	high: 0.5641	 avg: 0.5641	   word: quadrupole formula
count: 00001	high: 0.5836	 avg: 0.5836	   word: outgoing waves
count: 00001	high: 0.5939	 avg: 0.5939	   word: Newtonian quadrupole
count: 00001	high: 0.6237	 avg: 0.6237	   word: scalar-tensor theory
count: 00001	high: 0.6394	 avg: 0.6394	   word: tensor waves
count: 00001	high: 0.6395	 avg: 0.6395	   word: total energy flux
count: 00001	high: 0.6395	 avg: 0.6395	   word: lower order calculations
count: 00001	high: 0.6538	 avg: 0.6538	   word: scalar waveforms
count: 00001	high: 0.6620	 avg: 0.6620	   word: general relativistic counterparts
count: 00001	high: 0.6625	 avg: 0.6625	   word: black hole binaries
count: 00001	high: 0.6763	 avg: 0.6763	   word: neutron star binaries
count: 00001	high: 0.6987	 avg: 0.6987	   word: nonspinning compact objects
count: 00001	high: 0.7010	 avg: 0.7010	   word: compact objects
count: 00001	high: 0.7034	 avg: 0.7034	   word: Einstein equations formalism
count: 00001	high: 0.7087	 avg: 0.7087	   word: scalar waves
count: 00001	high: 0.7851	 avg: 0.7851	   word: tensor gravitational waves
count: 00001	high: 0.7863	 avg: 0.7863	   word: scalar-tensor field equations
count: 00001	high: 0.8388	 avg: 0.8388	   word: post-Newtonian order
count: 00001	high: 0.9753	 avg: 0.9753	   word: scalar waveform
count: 00001	high: 0.2509	 avg: 0.2509	   word: range
count: 00001	high: 0.2570	 avg: 0.2570	   word: results
count: 00001	high: 0.2710	 avg: 0.2710	   word: values
count: 00001	high: 0.2867	 avg: 0.2867	   word: effect
count: 00001	high: 0.2980	 avg: 0.2980	   word: emergence
count: 00001	high: 0.3115	 avg: 0.3115	   word: threshold
count: 00001	high: 0.3324	 avg: 0.3324	   word: stiffness
count: 00001	high: 0.7914	 avg: 0.7914	   word: rapidly rotating polytropic
count: 00001	high: 0.9130	 avg: 0.9130	   word: dynamical bar-mode instability
count: 00001	high: 0.4324	 avg: 0.4324	   word: quality
count: 00001	high: 0.4325	 avg: 0.4325	   word: Monte
count: 00001	high: 0.4326	 avg: 0.4326	   word: technology
count: 00001	high: 0.4331	 avg: 0.4331	   word: hand
count: 00001	high: 0.4336	 avg: 0.4336	   word: cost
count: 00001	high: 0.4337	 avg: 0.4337	   word: performances
count: 00001	high: 0.4343	 avg: 0.4343	   word: Germany
count: 00001	high: 0.4346	 avg: 0.4346	   word: way
count: 00001	high: 0.4406	 avg: 0.4406	   word: chances
count: 00001	high: 0.4410	 avg: 0.4410	   word: GEO
count: 00001	high: 0.4415	 avg: 0.4415	   word: degradation
count: 00001	high: 0.4425	 avg: 0.4425	   word: baseline
count: 00001	high: 0.4533	 avg: 0.4533	   word: Hz
count: 00001	high: 0.4610	 avg: 0.4610	   word: networks
count: 00001	high: 0.4675	 avg: 0.4675	   word: detections
count: 00001	high: 0.5515	 avg: 0.5515	   word: squeezer
