count: 00066	high: 0.9938	 avg: 0.6387	   word: black holes
count: 00026	high: 0.9784	 avg: 0.7283	   word: black hole
count: 00010	high: 0.6819	 avg: 0.5282	   word: general relativity
count: 00010	high: 0.9285	 avg: 0.6977	   word: black hole thermodynamics
count: 00010	high: 0.4408	 avg: 0.3080	   word: results
count: 00009	high: 0.5017	 avg: 0.3118	   word: paper
count: 00007	high: 0.4958	 avg: 0.3870	   word: dimensions
count: 00007	high: 0.9757	 avg: 0.6898	   word: black hole solutions
count: 00006	high: 0.8226	 avg: 0.6392	   word: neutron stars
count: 00006	high: 0.3646	 avg: 0.3127	   word: gravity
count: 00006	high: 0.9326	 avg: 0.6718	   word: gravitational waves
count: 00006	high: 0.4562	 avg: 0.3005	   word: thermodynamics
count: 00006	high: 0.4712	 avg: 0.3700	   word: effect
count: 00005	high: 0.3444	 avg: 0.3034	   word: case
count: 00005	high: 0.7006	 avg: 0.5995	   word: event horizon
count: 00005	high: 0.4571	 avg: 0.3763	   word: theory
count: 00005	high: 0.3322	 avg: 0.2735	   word: work
count: 00005	high: 0.7983	 avg: 0.5095	   word: quasinormal modes
count: 00005	high: 0.8441	 avg: 0.7126	   word: black hole binaries
count: 00005	high: 0.8843	 avg: 0.6706	   word: Kerr black hole
count: 00005	high: 0.5546	 avg: 0.3633	   word: entropy
count: 00004	high: 0.9742	 avg: 0.7433	   word: regular black holes
count: 00004	high: 0.9262	 avg: 0.7684	   word: Einstein field equations
count: 00004	high: 0.5874	 avg: 0.5116	   word: gravitational radiation
count: 00004	high: 0.8297	 avg: 0.6968	   word: black hole horizon
count: 00004	high: 0.8232	 avg: 0.6726	   word: binary black holes
count: 00004	high: 0.9873	 avg: 0.7960	   word: phase transition
count: 00004	high: 0.2829	 avg: 0.2707	   word: magnitude
count: 00004	high: 0.5236	 avg: 0.3791	   word: number
count: 00004	high: 0.3493	 avg: 0.2959	   word: horizons
count: 00004	high: 0.9041	 avg: 0.6292	   word: Hawking radiation
count: 00003	high: 0.4272	 avg: 0.4000	   word: derivation
count: 00003	high: 0.5296	 avg: 0.4920	   word: internal energy
count: 00003	high: 0.9697	 avg: 0.7647	   word: Lovelock gravity
count: 00003	high: 0.6042	 avg: 0.4953	   word: appropriate limits
count: 00003	high: 0.9122	 avg: 0.7845	   word: string cloud background
count: 00003	high: 0.6696	 avg: 0.6409	   word: energy-momentum tensor
count: 00003	high: 0.4257	 avg: 0.3105	   word: presence
count: 00003	high: 0.4734	 avg: 0.3738	   word: photons
count: 00003	high: 0.8018	 avg: 0.6738	   word: gravitational collapse
count: 00003	high: 0.5260	 avg: 0.3703	   word: function
count: 00003	high: 0.4667	 avg: 0.4094	   word: result
count: 00003	high: 0.8147	 avg: 0.6782	   word: Kerr spacetime
count: 00003	high: 0.4876	 avg: 0.4408	   word: parameter space
count: 00003	high: 0.3318	 avg: 0.3167	   word: types
count: 00003	high: 0.9627	 avg: 0.9024	   word: absorption cross section
count: 00003	high: 0.8119	 avg: 0.6717	   word: fermionic perturbations
count: 00003	high: 0.4502	 avg: 0.4028	   word: law
count: 00003	high: 0.7705	 avg: 0.6991	   word: scalar perturbations
count: 00003	high: 0.3760	 avg: 0.3562	   word: class
count: 00003	high: 0.8153	 avg: 0.7431	   word: extremal black holes
count: 00003	high: 0.4305	 avg: 0.3637	   word: extension
count: 00003	high: 0.4434	 avg: 0.3712	   word: systems
count: 00003	high: 0.5486	 avg: 0.4553	   word: numerical methods
count: 00003	high: 0.9472	 avg: 0.8104	   word: massless scalar field
count: 00003	high: 0.4257	 avg: 0.3642	   word: parameters
count: 00003	high: 0.8414	 avg: 0.7482	   word: numerical relativity simulations
count: 00003	high: 0.9844	 avg: 0.9431	   word: gravitational wave
count: 00003	high: 0.6333	 avg: 0.5288	   word: critical point
count: 00003	high: 0.8011	 avg: 0.6424	   word: hairy black holes
count: 00003	high: 0.2799	 avg: 0.2578	   word: assumption
count: 00003	high: 0.6857	 avg: 0.6131	   word: Einstein equations
count: 00003	high: 0.3442	 avg: 0.3332	   word: method
count: 00003	high: 0.4948	 avg: 0.3312	   word: observations
count: 00003	high: 0.5370	 avg: 0.3831	   word: dependence
count: 00003	high: 0.6493	 avg: 0.6152	   word: binary black hole
count: 00003	high: 0.9276	 avg: 0.6019	   word: symmetric black hole
count: 00003	high: 0.4256	 avg: 0.3318	   word: contrast
count: 00003	high: 0.4346	 avg: 0.3148	   word: means
count: 00003	high: 0.4600	 avg: 0.3891	   word: relation
count: 00003	high: 0.4480	 avg: 0.3684	   word: connection
count: 00003	high: 0.5060	 avg: 0.3882	   word: existence
count: 00003	high: 0.5683	 avg: 0.5264	   word: cosmological horizon
count: 00003	high: 0.5358	 avg: 0.4958	   word: electric charge
count: 00003	high: 0.7539	 avg: 0.6382	   word: symmetric black holes
count: 00003	high: 0.9953	 avg: 0.9259	   word: Schwarzschild black hole
count: 00003	high: 0.6056	 avg: 0.4319	   word: curvature
count: 00003	high: 0.4412	 avg: 0.3123	   word: cases
count: 00003	high: 0.4170	 avg: 0.3427	   word: Einstein gravity
count: 00003	high: 0.5792	 avg: 0.4097	   word: criticality
count: 00003	high: 0.9038	 avg: 0.7634	   word: order Lovelock gravity
count: 00003	high: 0.4568	 avg: 0.3790	   word: mass
count: 00003	high: 0.4628	 avg: 0.3799	   word: properties
count: 00003	high: 0.9948	 avg: 0.8719	   word: Sitter black holes
count: 00003	high: 0.4682	 avg: 0.4098	   word: point
count: 00003	high: 0.4863	 avg: 0.3897	   word: infinity
count: 00002	high: 0.4472	 avg: 0.3420	   word: binaries
count: 00002	high: 0.8600	 avg: 0.8494	   word: post-Newtonian order
count: 00002	high: 0.4272	 avg: 0.4269	   word: quantity
count: 00002	high: 0.3613	 avg: 0.3505	   word: maximum
count: 00002	high: 0.4934	 avg: 0.4897	   word: critical values
count: 00002	high: 0.8926	 avg: 0.7199	   word: variable mass parameter
count: 00002	high: 0.9030	 avg: 0.7267	   word: quantum gravity
count: 00002	high: 0.4375	 avg: 0.3893	   word: calculations
count: 00002	high: 0.8468	 avg: 0.8046	   word: lower bound
count: 00002	high: 0.3981	 avg: 0.3756	   word: vacuum states
count: 00002	high: 0.5944	 avg: 0.4845	   word: energy density
count: 00002	high: 0.4409	 avg: 0.4011	   word: principle
count: 00002	high: 0.4872	 avg: 0.4807	   word: matter fields
count: 00002	high: 0.2537	 avg: 0.2386	   word: temperature
count: 00002	high: 0.4362	 avg: 0.3713	   word: critical solution
count: 00002	high: 0.6313	 avg: 0.4753	   word: horizon structure
count: 00002	high: 0.4913	 avg: 0.4276	   word: metric functions
count: 00002	high: 0.9088	 avg: 0.7215	   word: mass parameter
count: 00002	high: 0.6132	 avg: 0.5754	   word: extreme black hole
count: 00002	high: 0.3510	 avg: 0.2999	   word: region
count: 00002	high: 0.6006	 avg: 0.5300	   word: compact object
count: 00002	high: 0.6165	 avg: 0.6019	   word: Vaidya solution
count: 00002	high: 0.5620	 avg: 0.5128	   word: orbital motion
count: 00002	high: 0.5782	 avg: 0.4324	   word: Einstein-Gauss-Bonnet theories
count: 00002	high: 0.6284	 avg: 0.4735	   word: -dimensional spacetime
count: 00002	high: 0.6081	 avg: 0.4703	   word: higher dimensions
count: 00002	high: 0.4352	 avg: 0.4085	   word: Sitter
count: 00002	high: 0.7296	 avg: 0.6598	   word: Krein construction
count: 00002	high: 0.5993	 avg: 0.5917	   word: free field
count: 00002	high: 0.6054	 avg: 0.5887	   word: interesting link
count: 00002	high: 0.6225	 avg: 0.6122	   word: infinite term
count: 00002	high: 0.6400	 avg: 0.6328	   word: new version
count: 00002	high: 0.8493	 avg: 0.8179	   word: black holes thermodynamics
count: 00002	high: 0.7010	 avg: 0.5854	   word: compact objects
