count: 00007	high: 0.4510	 avg: 0.3667	   word: singularities
count: 00005	high: 0.5962	 avg: 0.4466	   word: general relativity
count: 00005	high: 0.9123	 avg: 0.6925	   word: naked singularities
count: 00004	high: 0.8076	 avg: 0.6521	   word: gravitational collapse
count: 00003	high: 0.4298	 avg: 0.4045	   word: result
count: 00003	high: 0.9567	 avg: 0.8535	   word: black hole
count: 00003	high: 0.9916	 avg: 0.7386	   word: black holes
count: 00003	high: 0.9726	 avg: 0.8287	   word: spherical polar coordinates
count: 00003	high: 0.5193	 avg: 0.3919	   word: universe
count: 00003	high: 0.6215	 avg: 0.5940	   word: matter content
count: 00003	high: 0.7713	 avg: 0.6201	   word: scale factor
count: 00002	high: 0.3512	 avg: 0.3019	   word: nature
count: 00002	high: 0.4492	 avg: 0.3744	   word: occurrence
count: 00002	high: 0.4446	 avg: 0.3547	   word: addition
count: 00002	high: 0.4362	 avg: 0.4257	   word: results
count: 00002	high: 0.4363	 avg: 0.3494	   word: framework
count: 00002	high: 0.7146	 avg: 0.4704	   word: fundamental role
count: 00002	high: 0.4603	 avg: 0.3941	   word: matter
count: 00002	high: 0.5866	 avg: 0.5698	   word: energy density
count: 00002	high: 0.4521	 avg: 0.3922	   word: application
count: 00002	high: 0.3600	 avg: 0.3066	   word: discontinuities
count: 00002	high: 0.7922	 avg: 0.5390	   word: Bardeen black hole
count: 00002	high: 0.5194	 avg: 0.4059	   word: fate
count: 00002	high: 0.8043	 avg: 0.7617	   word: late time evolution
count: 00002	high: 0.9767	 avg: 0.7758	   word: black hole formation
count: 00002	high: 0.4360	 avg: 0.4048	   word: number
count: 00002	high: 0.5559	 avg: 0.5178	   word: curvature scalar
count: 00002	high: 0.2592	 avg: 0.2586	   word: conditions
count: 00002	high: 0.3537	 avg: 0.3193	   word: presence
count: 00002	high: 0.6857	 avg: 0.6305	   word: Einstein equations
count: 00002	high: 0.8954	 avg: 0.8193	   word: inhomogeneous dust
count: 00002	high: 0.3322	 avg: 0.2939	   word: work
count: 00002	high: 0.3929	 avg: 0.3281	   word: account
count: 00002	high: 0.6919	 avg: 0.6138	   word: classical singularity
count: 00002	high: 0.5319	 avg: 0.4808	   word: models
count: 00002	high: 0.4512	 avg: 0.4182	   word: behavior
count: 00002	high: 0.5041	 avg: 0.4480	   word: origin
count: 00001	high: 0.4528	 avg: 0.4528	   word: tre-Tolman
count: 00001	high: 0.4530	 avg: 0.4530	   word: Lema\^
count: 00001	high: 0.4884	 avg: 0.4884	   word: character
count: 00001	high: 0.6345	 avg: 0.6345	   word: central feature
count: 00001	high: 0.6617	 avg: 0.6617	   word: necessary condition
count: 00001	high: 0.7048	 avg: 0.7048	   word: LT solutions
count: 00001	high: 0.8049	 avg: 0.8049	   word: cosmological observations
count: 00001	high: 0.8515	 avg: 0.8515	   word: cosmological models
count: 00001	high: 0.9003	 avg: 0.9003	   word: central density cusps
count: 00001	high: 0.9474	 avg: 0.9474	   word: complete gravitational collapse
count: 00001	high: 0.9845	 avg: 0.9845	   word: central density profile
count: 00001	high: 0.4151	 avg: 0.4151	   word: field
count: 00001	high: 0.4166	 avg: 0.4166	   word: topology
count: 00001	high: 0.4218	 avg: 0.4218	   word: characterisation
count: 00001	high: 0.4219	 avg: 0.4219	   word: derivation
count: 00001	high: 0.4247	 avg: 0.4247	   word: instability
count: 00001	high: 0.4273	 avg: 0.4273	   word: Minkowski
count: 00001	high: 0.4290	 avg: 0.4290	   word: space
count: 00001	high: 0.4434	 avg: 0.4434	   word: thesis
count: 00001	high: 0.4926	 avg: 0.4926	   word: condition numbers
count: 00001	high: 0.4931	 avg: 0.4931	   word: right mix
count: 00001	high: 0.4934	 avg: 0.4934	   word: critical values
count: 00001	high: 0.4961	 avg: 0.4961	   word: free versus
count: 00001	high: 0.4966	 avg: 0.4966	   word: strong evidence
count: 00001	high: 0.4969	 avg: 0.4969	   word: various scenarios
count: 00001	high: 0.4987	 avg: 0.4987	   word: spatial infinity
count: 00001	high: 0.4993	 avg: 0.4993	   word: theoretical framework
count: 00001	high: 0.5000	 avg: 0.5000	   word: non-vacuum systems
count: 00001	high: 0.5014	 avg: 0.5014	   word: singularities/black holes
count: 00001	high: 0.5053	 avg: 0.5053	   word: lapse function
count: 00001	high: 0.5062	 avg: 0.5062	   word: general perturbations
count: 00001	high: 0.5065	 avg: 0.5065	   word: time evolution
count: 00001	high: 0.5273	 avg: 0.5273	   word: metric function
count: 00001	high: 0.5322	 avg: 0.5322	   word: numerical error
count: 00001	high: 0.5336	 avg: 0.5336	   word: universal collapse
count: 00001	high: 0.5455	 avg: 0.5455	   word: IVP formulations
count: 00001	high: 0.5486	 avg: 0.5486	   word: numerical methods
count: 00001	high: 0.5785	 avg: 0.5785	   word: initial value parameters
count: 00001	high: 0.5804	 avg: 0.5804	   word: stable evolution code
count: 00001	high: 0.5869	 avg: 0.5869	   word: critical black hole
count: 00001	high: 0.5923	 avg: 0.5923	   word: mass scaling phenomena
count: 00001	high: 0.6009	 avg: 0.6009	   word: appropriate boundary conditions
count: 00001	high: 0.6122	 avg: 0.6122	   word: appropriate regularity conditions
count: 00001	high: 0.6123	 avg: 0.6123	   word: exponential metric terms
count: 00001	high: 0.6174	 avg: 0.6174	   word: main numerical tools
count: 00001	high: 0.6209	 avg: 0.6209	   word: Cauchy ADM formulation
count: 00001	high: 0.6225	 avg: 0.6225	   word: order correct discretisation
count: 00001	high: 0.6294	 avg: 0.6294	   word: IVP parameter phase
count: 00001	high: 0.6330	 avg: 0.6330	   word: appropriate numerical techniques
count: 00001	high: 0.7034	 avg: 0.7034	   word: pure vacuum Brill
count: 00001	high: 0.7251	 avg: 0.7251	   word: Brill metric variables
count: 00001	high: 0.7735	 avg: 0.7735	   word: vacuum Brill waves
count: 00001	high: 0.9246	 avg: 0.9246	   word: brill gravitational waves
count: 00001	high: 0.3736	 avg: 0.3736	   word: expressions
count: 00001	high: 0.3831	 avg: 0.3831	   word: characterization
count: 00001	high: 0.4017	 avg: 0.4017	   word: generalization
count: 00001	high: 0.5517	 avg: 0.5517	   word: Kuzmin solution
count: 00001	high: 0.5534	 avg: 0.5534	   word: Laplace
count: 00001	high: 0.5934	 avg: 0.5934	   word: particular example
count: 00001	high: 0.6066	 avg: 0.6066	   word: relevant quantities
count: 00001	high: 0.6249	 avg: 0.6249	   word: disk-haloes sources
count: 00001	high: 0.6336	 avg: 0.6336	   word: exact solution
count: 00001	high: 0.8582	 avg: 0.8582	   word: reasonable physical behaviour
count: 00001	high: 0.9371	 avg: 0.9371	   word: energy momentum tensor
count: 00001	high: 0.9596	 avg: 0.9596	   word: Einstein-Maxwell field equations
count: 00001	high: 0.4396	 avg: 0.4396	   word: issue
count: 00001	high: 0.4397	 avg: 0.4397	   word: care
count: 00001	high: 0.4446	 avg: 0.4446	   word: vacuum
count: 00001	high: 0.4535	 avg: 0.4535	   word: variables
count: 00001	high: 0.4597	 avg: 0.4597	   word: symmetry
count: 00001	high: 0.4599	 avg: 0.4599	   word: Einstein
count: 00001	high: 0.4606	 avg: 0.4606	   word: twist
count: 00001	high: 0.5208	 avg: 0.5208	   word: equations
count: 00001	high: 0.6150	 avg: 0.6150	   word: central point
count: 00001	high: 0.6349	 avg: 0.6349	   word: computational advantages
count: 00001	high: 0.6356	 avg: 0.6356	   word: general problem
count: 00001	high: 0.6399	 avg: 0.6399	   word: spectral approach
count: 00001	high: 0.6459	 avg: 0.6459	   word: new gauge
count: 00001	high: 0.6588	 avg: 0.6588	   word: maximal-isothermal gauge
count: 00001	high: 0.6716	 avg: 0.6716	   word: coordinate singularity
count: 00001	high: 0.6780	 avg: 0.6780	   word: gauge choice
count: 00001	high: 0.6960	 avg: 0.6960	   word: new formulation
count: 00001	high: 0.7003	 avg: 0.7003	   word: appropriate harmonics
count: 00001	high: 0.7028	 avg: 0.7028	   word: coordinate singularities
count: 00001	high: 0.7312	 avg: 0.7312	   word: axisymmetric spacetime
count: 00001	high: 0.7461	 avg: 0.7461	   word: Spherical harmonics
count: 00001	high: 0.8407	 avg: 0.8407	   word: tensor harmonic expansions
count: 00001	high: 0.8759	 avg: 0.8759	   word: fully constrained scheme
count: 00001	high: 0.4439	 avg: 0.4439	   word: influence
count: 00001	high: 0.4489	 avg: 0.4489	   word: importance
count: 00001	high: 0.4517	 avg: 0.4517	   word: significance
count: 00001	high: 0.4697	 avg: 0.4697	   word: turbulence
count: 00001	high: 0.5752	 avg: 0.5752	   word: anisotropy
count: 00001	high: 0.6023	 avg: 0.6023	   word: recent developments
count: 00001	high: 0.6480	 avg: 0.6480	   word: future singularities
