Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type
3366,A Einstein,Investigations on the Theory of the Brownian Movement,1956,,books.google.com,,"http://scholar.google.com/scholar?cites=13746912682491308133&as_sdt=5,33&sciodt=0,33&hl=en&num=20",457,2015-01-12,BOOK
2522,A Einstein,The meaning of relativity,2003,,books.google.com,,"http://scholar.google.com/scholar?cites=11457595862006272228&as_sdt=5,33&sciodt=0,33&hl=en&num=20",18,2015-01-12,BOOK
2003,A Einstein,Relativity: The special and general theory,1920,,books.google.com,,"http://scholar.google.com/scholar?cites=6260380372219921579&as_sdt=5,33&sciodt=0,33&hl=en&num=20",26,2015-01-12,BOOK
1865,HA Einstein,The bed-load function for sediment transportation in open channel flows,1950,,books.google.com,,"http://scholar.google.com/scholar?cites=11791757726509093391&as_sdt=5,33&sciodt=0,33&hl=en&num=20",408,2015-01-12,BOOK
1007,"A Einstein, FA Davis",The principle of relativity,2013,,books.google.com,,"http://scholar.google.com/scholar?cites=10222925839632055980&as_sdt=5,33&sciodt=0,33&hl=en&num=20",27,2015-01-12,BOOK
762,A Einstein,equations of motionﬁ one therefore could not doubt that the laws of nature are,1907,Jahrbuch der Radioaktivitﬁt and Elektronik,books.benjibear.com,,"http://scholar.google.com/scholar?cites=8194474078555405789&as_sdt=5,33&sciodt=0,33&hl=en&num=20",9,2015-01-12,PDF
718,"A Einstein, L Infeld, B Hoffmann",The gravitational equations and the problem of motion,1938,Annals of Mathematics,JSTOR,http://www.jstor.org/stable/1968714,"http://scholar.google.com/scholar?cites=15597084872061545949&as_sdt=5,33&sciodt=0,33&hl=en&num=20",8,2015-01-12,
674,A Einstein,On the electrodynamics of moving bodies,1905,Annalen der Physik,ganapathymani.com,,"http://scholar.google.com/scholar?cites=8053935303508980710&as_sdt=5,33&sciodt=0,33&hl=en&num=20",47,2015-01-12,PDF
576,"AJ Einstein, KW Moser, RC Thompson, MD Cerqueira…",Radiation dose to patients from cardiac diagnostic imaging,2007,Circulation,Am Heart Assoc,http://circ.ahajournals.org/content/116/11/1290.short,"http://scholar.google.com/scholar?cites=1863072926880279141&as_sdt=5,33&sciodt=0,33&hl=en&num=20",66,2015-01-12,
547,"A Einstein, N Rosen",The particle problem in the general theory of relativity,1935,Physical Review,APS,http://journals.aps.org/pr/abstract/10.1103/PhysRev.48.73,"http://scholar.google.com/scholar?cites=12603935438060482309&as_sdt=5,33&sciodt=0,33&hl=en&num=20",7,2015-01-12,
461,A Einstein,The collected papers of Albert Einstein,1989,,books.google.com,,"http://scholar.google.com/scholar?cites=6706908336481689418&as_sdt=5,33&sciodt=0,33&hl=en&num=20",503,2015-01-12,BOOK
449,A Einstein,Physics and reality,1936,Journal of the Franklin Institute,Elsevier,http://www.sciencedirect.com/science/article/pii/S0016003236910475,"http://scholar.google.com/scholar?cites=6799563874330167610&as_sdt=5,33&sciodt=0,33&hl=en&num=20",20,2015-01-12,
435,A Einstein,On the method of theoretical physics,1934,Philosophy of science,JSTOR,http://www.jstor.org/stable/184387,"http://scholar.google.com/scholar?cites=13957436534125297974&as_sdt=5,33&sciodt=0,33&hl=en&num=20",13,2015-01-12,
413,"A Einstein, N Rosen",On gravitational waves,1937,Journal of the Franklin Institute,Elsevier,http://www.sciencedirect.com/science/article/pii/S0016003237905830,"http://scholar.google.com/scholar?cites=16415084652395903416&as_sdt=5,33&sciodt=0,33&hl=en&num=20",10,2015-01-12,
374,A Einstein,The field equations of gravitation,1913,… and Essence of Radiation 11 The Field Equations …,upload.wikimedia.org,,"http://scholar.google.com/scholar?cites=11246957885394826280&as_sdt=5,33&sciodt=0,33&hl=en&num=20",1,2015-01-12,PDF
364,"A Einstein, G Straus",Gravitation. &ie.. cs Surrounc ing t.'xe:: ncivic ua.. Stars,1945,,dafix.uark.edu,,"http://scholar.google.com/scholar?cites=1352877977623266353&as_sdt=5,33&sciodt=0,33&hl=en&num=20",6,2015-01-12,PDF
334,"A Einstein, HA Lorentz, H Minkowski…",On the electrodynamics of moving bodies,1952,The principle of …,mercury.pr.erau.edu,,"http://scholar.google.com/scholar?cites=16556612620019609409&as_sdt=5,33&sciodt=0,33&hl=en&num=20",43,2015-01-12,PDF
329,A Einstein,The meaning of relativity,1950,… and Essence of Radiation 11 The Field Equations …,upload.wikimedia.org,http://upload.wikimedia.org/wikisource/en/5/55/On_a_Heuristic_Point_of_View_about_the_Creation_and_Conversion_of_Light_(1).pdf#page=91,"http://scholar.google.com/scholar?cites=7196463446640404215&as_sdt=5,33&sciodt=0,33&hl=en&num=20",19,2015-01-12,
290,A Einstein,On a stationary system with spherical symmetry consisting of many gravitating masses,1939,Annals of Mathematics,JSTOR,http://www.jstor.org/stable/1968902,"http://scholar.google.com/scholar?cites=12800556622318901488&as_sdt=5,33&sciodt=0,33&hl=en&num=20",34,2015-01-12,
253,"A Einstein, P Bergmann",On a generalization of Kaluza's theory of electricity,1938,Annals of Mathematics,JSTOR,http://www.jstor.org/stable/1968642,"http://scholar.google.com/scholar?cites=13095651482547476469&as_sdt=5,33&sciodt=0,33&hl=en&num=20",15,2015-01-12,
244,"A Einstein, EG Straus","A generalization of the relativistic theory of gravitation, II",1946,Annals of Mathematics,JSTOR,http://www.jstor.org/stable/1969231,"http://scholar.google.com/scholar?cites=6188334212392197419&as_sdt=5,33&sciodt=0,33&hl=en&num=20",11,2015-01-12,
224,"A Einstein, W De Sitter",On the Relation between the Expansion and the Mean Density of the Universe,1932,Proceedings of the National Academy of …,ncbi.nlm.nih.gov,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1076193/,"http://scholar.google.com/scholar?cites=10151415472923143826&as_sdt=5,33&sciodt=0,33&hl=en&num=20",24,2015-01-12,
220,"A Einstein, L Infeld",On the motion of particles in general relativity theory,1949,Can. J. Math,,,"http://scholar.google.com/scholar?cites=11297380142429183414&as_sdt=5,33&sciodt=0,33&hl=en&num=20",4,2015-01-12,CITATION
220,A Einstein,Sidelights on relativity,1922,,books.google.com,,"http://scholar.google.com/scholar?cites=12831857969590545520&as_sdt=5,33&sciodt=0,33&hl=en&num=20",37,2015-01-12,BOOK
216,A Einstein,A generalization of the relativistic theory of gravitation,1945,Annals of Mathematics,JSTOR,http://www.jstor.org/stable/1969197,"http://scholar.google.com/scholar?cites=1904057624870791188&as_sdt=5,33&sciodt=0,33&hl=en&num=20",5,2015-01-12,
215,A Einstein,Essays in science,2011,,books.google.com,,"http://scholar.google.com/scholar?cites=12684068162672357432&as_sdt=5,33&sciodt=0,33&hl=en&num=20",40,2015-01-12,BOOK
212,A Einstein,Geometry and experience,1921,… and Essence of Radiation 11 The Field Equations …,upload.wikimedia.org,,"http://scholar.google.com/scholar?cites=7512954101354072652&as_sdt=5,33&sciodt=0,33&hl=en&num=20",23,2015-01-12,PDF
207,"SS Dagalur, I Nevo, M Newman, M Salah",Monitoring device for financial securities,1999,"US Patent 5,946,666",Google Patents,http://www.google.com/patents/US5946666,"http://scholar.google.com/scholar?cites=1623571789560470052&as_sdt=5,33&sciodt=0,33&hl=en&num=20",509,2015-01-12,
183,A Einstein,Out of my later years,1956,,books.google.com,,"http://scholar.google.com/scholar?cites=1364230554729821917&as_sdt=5,33&sciodt=0,33&hl=en&num=20",41,2015-01-12,BOOK
152,A Einstein,Considerations concerning the fundaments of theoretical physics,1943,,promo.aaas.org,,"http://scholar.google.com/scholar?cites=14840488433339941725&as_sdt=5,33&sciodt=0,33&hl=en&num=20",21,2015-01-12,BOOK
141,A Einstein,On the generalized theory of gravitation,1950,,science.uwaterloo.ca,,"http://scholar.google.com/scholar?cites=16764848053095575366&as_sdt=5,33&sciodt=0,33&hl=en&num=20",12,2015-01-12,BOOK
123,A Einstein,On the Influence of Gravitation on the Propagation of Light,1911,Annalen der Physik,relativitycalculator.com,,"http://scholar.google.com/scholar?cites=8297260989349676813&as_sdt=5,33&sciodt=0,33&hl=en&num=20",343,2015-01-12,PDF
115,"A Einstein, W Pauli",On the non-existence of regular stationary solutions of relativistic field equations,1943,Annals of Mathematics,JSTOR,http://www.jstor.org/stable/1968759,"http://scholar.google.com/scholar?cites=319663100989579317&as_sdt=5,33&sciodt=0,33&hl=en&num=20",2,2015-01-12,
114,"A Einstein, EG Straus",Corrections and additional remarks to our paper: The influence of the expansion of space on the gravitation fields surrounding the individual stars,1946,Reviews of Modern Physics,APS,,"http://scholar.google.com/scholar?cites=5201920159405850646&as_sdt=5,33&sciodt=0,33&hl=en&num=20",16,2015-01-12,CITATION
108,"L Zhang, HH Einstein",Estimating the mean trace length of rock discontinuities,1998,Rock Mechanics and Rock Engineering,Springer,http://link.springer.com/article/10.1007/s006030050022,"http://scholar.google.com/scholar?cites=12009352316686629862&as_sdt=5,33&sciodt=0,33&hl=en&num=20",433,2015-01-12,
101,"A Einstein, B Kaufman",A new form of the general relativistic field equations,1955,Annals of mathematics,JSTOR,http://www.jstor.org/stable/2007103,"http://scholar.google.com/scholar?cites=2940103936405906675&as_sdt=5,33&sciodt=0,33&hl=en&num=20",3,2015-01-12,
