Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type
105,"JC Graves","The conceptual foundations of contemporary relativity theory",1971,"","philpapers.org","","http://scholar.google.com/scholar?cites=9114438636800644032&as_sdt=5,33&sciodt=0,33&hl=en&num=20",292,"2015-01-23","CITATION"
157,"E Gourgoulhon, P Grandclement, K Taniguchi…","Quasiequilibrium sequences of synchronized and irrotational binary neutron stars in general relativity: Method and tests",2001,"Physical Review D","APS","http://journals.aps.org/prd/abstract/10.1103/PhysRevD.63.064029","http://scholar.google.com/scholar?cites=710420594533236842&as_sdt=5,33&sciodt=0,33&hl=en&num=20",293,"2015-01-23",""
117,"RC Tolman","On the weight of heat and thermal equilibrium in general relativity",1930,"Physical Review","APS","http://journals.aps.org/pr/abstract/10.1103/PhysRev.35.904","http://scholar.google.com/scholar?cites=3858282739758105313&as_sdt=5,33&sciodt=0,33&hl=en&num=20",294,"2015-01-23",""
122,"D Christodoulou, N O'Murchadha","The boost problem in general relativity",1981,"Communications in Mathematical …","Springer","http://link.springer.com/article/10.1007/BF01213014","http://scholar.google.com/scholar?cites=8526133271095743990&as_sdt=5,33&sciodt=0,33&hl=en&num=20",295,"2015-01-23",""
98,"M Ferraris, M Francaviglia, C Reina","Variational formulation of general relativity from 1915 to 1925 “Palatini's method” discovered by Einstein in 1925",1982,"General relativity and gravitation","Springer","http://link.springer.com/article/10.1007/BF00756060","http://scholar.google.com/scholar?cites=15427340505374524933&as_sdt=5,33&sciodt=0,33&hl=en&num=20",296,"2015-01-23",""
89,"T Dereli, RW Tucker","Signature dynamics in general relativity",1993,"Classical and Quantum Gravity","iopscience.iop.org","http://iopscience.iop.org/0264-9381/10/2/018","http://scholar.google.com/scholar?cites=8923517407382397460&as_sdt=5,33&sciodt=0,33&hl=en&num=20",297,"2015-01-23",""
131,"K Gödel","Rotating universes in general relativity theory",1952,"Proceedings of the International Congress of …","adsabs.harvard.edu","","http://scholar.google.com/scholar?cites=7657119731203020849&as_sdt=5,33&sciodt=0,33&hl=en&num=20",298,"2015-01-23","CITATION"
175,"CM Will","The confrontation between general relativity and experiment: an update",1984,"Physics Reports","Elsevier","http://www.sciencedirect.com/science/article/pii/0370157384901194","http://scholar.google.com/scholar?cites=12172981016521866918&as_sdt=5,33&sciodt=0,33&hl=en&num=20",299,"2015-01-23",""
208,"M Alcubierre","Introduction to 3+ 1 numerical relativity",2008,"","cds.cern.ch","","http://scholar.google.com/scholar?cites=7907694451345764697&as_sdt=5,33&sciodt=0,33&hl=en&num=20",300,"2015-01-23","BOOK"
292,"PDB Collins, AD Martin, EJ Squires","Particle physics and cosmology",1989,"","inis.iaea.org","http://inis.iaea.org/search/search.aspx?orig_q=RN:21038339","http://scholar.google.com/scholar?cites=15455702490808698412&as_sdt=5,33&sciodt=0,33&hl=en&num=20",301,"2015-01-23",""
151,"S Alexander, N Yunes","Chern–Simons modified general relativity",2009,"Physics Reports","Elsevier","http://www.sciencedirect.com/science/article/pii/S037015730900177X","http://scholar.google.com/scholar?cites=6847911016071917995&as_sdt=5,33&sciodt=0,33&hl=en&num=20",302,"2015-01-23",""
89,"E Pechlaner, R Sexl","On quadratic Lagrangians in general relativity",1966,"Communications in Mathematical Physics","Springer","http://link.springer.com/article/10.1007/BF01773351","http://scholar.google.com/scholar?cites=15083655292786665872&as_sdt=5,33&sciodt=0,33&hl=en&num=20",303,"2015-01-23",""
121,"MAH MacCallum","General relativity: an Einstein centenary survey",1979,"Cambridge University Press, Cambridge","","","http://scholar.google.com/scholar?cites=16272059867516620303&as_sdt=5,33&sciodt=0,33&hl=en&num=20",304,"2015-01-23","CITATION"
83,"V Moncrief, DM Eardley","The global existence problem and cosmic censorship in general relativity",1981,"General Relativity and Gravitation","Springer","http://link.springer.com/article/10.1007/BF00764275","http://scholar.google.com/scholar?cites=14021755621027603522&as_sdt=5,33&sciodt=0,33&hl=en&num=20",305,"2015-01-23",""
93,"MM Som, AK Raychaudhuri","Cylindrically symmetric charged dust distributions in rigid rotation in general relativity",1968,"… of the Royal …","rspa.royalsocietypublishing.org","http://rspa.royalsocietypublishing.org/content/304/1476/81.short","http://scholar.google.com/scholar?cites=9034018576494897827&as_sdt=5,33&sciodt=0,33&hl=en&num=20",306,"2015-01-23",""
138,"A Papapetrou, A Papapetrou","Lectures on general relativity",1974,"","Springer","","http://scholar.google.com/scholar?cites=482562078076694648&as_sdt=5,33&sciodt=0,33&hl=en&num=20",307,"2015-01-23","BOOK"
121,"J Kijowski","A simple derivation of canonical structure and quasi-local Hamiltonians in general relativity",1997,"General Relativity and Gravitation","Springer","http://link.springer.com/article/10.1023/A:1010268818255","http://scholar.google.com/scholar?cites=6566811363292520426&as_sdt=5,33&sciodt=0,33&hl=en&num=20",308,"2015-01-23",""
417,"K Akama","Pregeometry",1983,"Gauge theory and gravitation","Springer","http://link.springer.com/content/pdf/10.1007/3-540-11994-9_41.pdf","http://scholar.google.com/scholar?cites=5308235640100045761&as_sdt=5,33&sciodt=0,33&hl=en&num=20",309,"2015-01-23",""
109,"T Futamase, BF Schutz","Newtonian and post-Newtonian approximations are asymptotic to general relativity",1983,"Physical Review D","APS","http://journals.aps.org/prd/abstract/10.1103/PhysRevD.28.2363","http://scholar.google.com/scholar?cites=15121699836339586070&as_sdt=5,33&sciodt=0,33&hl=en&num=20",310,"2015-01-23",""
107,"CD Ott, H Dimmelmeier, A Marek, HT Janka, I Hawke…","3D collapse of rotating stellar iron cores in general relativity including deleptonization and a nuclear equation of state",2007,"Physical Review Letters","APS","http://journals.aps.org/prl/abstract/10.1103/PhysRevLett.98.261101","http://scholar.google.com/scholar?cites=10049304513178609874&as_sdt=5,33&sciodt=0,33&hl=en&num=20",311,"2015-01-23",""
121,"H Bondi","Gravitational waves in general relativity",1960,"","nature.com","http://www.nature.com/nature/journal/v186/n4724/abs/186535a0.html","http://scholar.google.com/scholar?cites=5786536355059456213&as_sdt=5,33&sciodt=0,33&hl=en&num=20",312,"2015-01-23",""
84,"JW Maluf","Localization of energy in general relativity",1995,"Journal of Mathematical Physics","scitation.aip.org","http://scitation.aip.org/content/aip/journal/jmp/36/8/10.1063/1.530959","http://scholar.google.com/scholar?cites=10589151087070157670&as_sdt=5,33&sciodt=0,33&hl=en&num=20",313,"2015-01-23",""
80,"N Banerjee, S Sen","Does Brans-Dicke theory always yield general relativity in the infinite ω limit?",1997,"Physical Review D","APS","http://journals.aps.org/prd/abstract/10.1103/PhysRevD.56.1334","http://scholar.google.com/scholar?cites=6703683821732029950&as_sdt=5,33&sciodt=0,33&hl=en&num=20",314,"2015-01-23",""
59,"WG Dixon","Extended bodies in general relativity",1979,"Isolated gravitating systems in general relativity","inis.iaea.org","http://inis.iaea.org/search/search.aspx?orig_q=RN:11503261","http://scholar.google.com/scholar?cites=5436661707646191529&as_sdt=5,33&sciodt=0,33&hl=en&num=20",315,"2015-01-23",""
144,"M Shibata, K Taniguchi, K Uryū","Merger of binary neutron stars of unequal mass in full general relativity",2003,"Physical Review D","APS","http://journals.aps.org/prd/abstract/10.1103/PhysRevD.68.084020","http://scholar.google.com/scholar?cites=10846089608920276958&as_sdt=5,33&sciodt=0,33&hl=en&num=20",316,"2015-01-23",""
71,"S Deser, FAE Pirani, DC Robinson","New embedding model of general relativity",1976,"Physical Review D","APS","","http://scholar.google.com/scholar?cites=16899876724786799558&as_sdt=5,33&sciodt=0,33&hl=en&num=20",317,"2015-01-23","CITATION"
96,"DR Brill, S Deser","Instability of closed spaces in general relativity",1973,"Communications in Mathematical Physics","Springer","http://link.springer.com/article/10.1007/BF01645610","http://scholar.google.com/scholar?cites=5462960558093170741&as_sdt=5,33&sciodt=0,33&hl=en&num=20",318,"2015-01-23",""
96,"PW Higgs","Quadratic Lagrangians and general relativity",1959,"Il Nuovo Cimento Series 10","Springer","http://link.springer.com/article/10.1007/BF02732547","http://scholar.google.com/scholar?cites=4382089189248225742&as_sdt=5,33&sciodt=0,33&hl=en&num=20",319,"2015-01-23",""
70,"FW Hehl","On the energy tensor of spinning massive matter in classical field theory and general relativity",1976,"Reports on Mathematical Physics","Elsevier","http://www.sciencedirect.com/science/article/pii/0034487776900161","http://scholar.google.com/scholar?cites=5313787418095954812&as_sdt=5,33&sciodt=0,33&hl=en&num=20",320,"2015-01-23",""
79,"V Husain, L Smolin","Exactly solvable quantum cosmologies from two Killing field reductions of general relativity",1989,"Nuclear Physics B","Elsevier","http://www.sciencedirect.com/science/article/pii/0550321389902927","http://scholar.google.com/scholar?cites=13841906472624490956&as_sdt=5,33&sciodt=0,33&hl=en&num=20",321,"2015-01-23",""
117,"DW Sciama","Recent developments in general relativity",1962,"Festschrift for Infeld) Pergamon","","","http://scholar.google.com/scholar?cites=11003923187338091846&as_sdt=5,33&sciodt=0,33&hl=en&num=20",322,"2015-01-23","CITATION"
94,"PG Bergmann, AB Komar","Poisson brackets between locally defined observables in general relativity",1960,"Physical Review Letters","APS","","http://scholar.google.com/scholar?cites=6316938623000587810&as_sdt=5,33&sciodt=0,33&hl=en&num=20",323,"2015-01-23","CITATION"
98,"T Futamase","An approximation scheme for constructing inhomogeneous universes in general relativity",1989,"Monthly Notices of the Royal Astronomical …","mnras.oxfordjournals.org","","http://scholar.google.com/scholar?cites=14704803067176255853&as_sdt=5,33&sciodt=0,33&hl=en&num=20",324,"2015-01-23","HTML"
110,"MA Scheel, SL Shapiro, SA Teukolsky","Collapse to black holes in Brans-Dicke theory. II. Comparison with general relativity",1995,"Physical Review D","APS","http://journals.aps.org/prd/abstract/10.1103/PhysRevD.51.4236","http://scholar.google.com/scholar?cites=15281439089093035476&as_sdt=5,33&sciodt=0,33&hl=en&num=20",325,"2015-01-23",""
118,"B Kol","Topology change in general relativity, and the black-hole black-string transition",2005,"Journal of High Energy Physics","iopscience.iop.org","http://iopscience.iop.org/1126-6708/2005/10/049","http://scholar.google.com/scholar?cites=14713801748051387662&as_sdt=5,33&sciodt=0,33&hl=en&num=20",326,"2015-01-23",""
98,"N O'Murchadha, JW York Jr","Existence and uniqueness of solutions of the Hamiltonian constraint of general relativity on compact manifolds",1973,"Journal of Mathematical Physics","scitation.aip.org","http://scitation.aip.org/content/aip/journal/jmp/14/11/10.1063/1.1666225","http://scholar.google.com/scholar?cites=15984359467034823862&as_sdt=5,33&sciodt=0,33&hl=en&num=20",327,"2015-01-23",""
99,"J Bičák","Selected solutions of Einstein's field equations: their role in general relativity and astrophysics",2000,"Einstein's field equations and their physical …","Springer","http://link.springer.com/chapter/10.1007/3-540-46580-4_1","http://scholar.google.com/scholar?cites=2366208362305207902&as_sdt=5,33&sciodt=0,33&hl=en&num=20",328,"2015-01-23",""
160,"R Geroch","General Relativity from A to B",1981,"","books.google.com","","http://scholar.google.com/scholar?cites=18318874239452331042&as_sdt=5,33&sciodt=0,33&hl=en&num=20",329,"2015-01-23","BOOK"
100,"SV Krasnikov","Hyperfast travel in general relativity",1998,"Physical Review D","APS","http://journals.aps.org/prd/abstract/10.1103/PhysRevD.57.4760","http://scholar.google.com/scholar?cites=2780626027638479107&as_sdt=5,33&sciodt=0,33&hl=en&num=20",330,"2015-01-23",""
405,"PS Joshi","Global aspects in gravitation and cosmology.",1993,"Int. Ser. Monogr. Phys., Vol. 87,","adsabs.harvard.edu","http://adsabs.harvard.edu/abs/1993ISMP...87.....J","http://scholar.google.com/scholar?cites=2053058875881958373&as_sdt=5,33&sciodt=0,33&hl=en&num=20",331,"2015-01-23",""
300,"T Damour, N RERUELLE","General relativistic celestial mechanics of binary systems. II: The post-Newtonian timing formula",1986,"Annales de l'IHP Physique théorique","cat.inist.fr","http://cat.inist.fr/?aModele=afficheN&cpsidt=8764128","http://scholar.google.com/scholar?cites=14410112751335630823&as_sdt=5,33&sciodt=0,33&hl=en&num=20",332,"2015-01-23",""
921,"CG Callan Jr, S Coleman, R Jackiw","A new improved energy-momentum tensor",1970,"Annals of Physics","Elsevier","http://www.sciencedirect.com/science/article/pii/0003491670903945","http://scholar.google.com/scholar?cites=4419065538043648794&as_sdt=5,33&sciodt=0,33&hl=en&num=20",333,"2015-01-23",""
141,"S Chandrasekhar, Y Nutku","The second post-Newtonian equations of hydrodynamics in general relativity",1990,"Relativistic astrophysics","books.google.com","http://books.google.com/books?hl=en&lr=&id=lK6z-1lPQGQC&oi=fnd&pg=PA86&dq=%22general+relativity%22&ots=Evwrhzsll6&sig=saE7VOrgJax3L0XkXV6j8nOV24k","http://scholar.google.com/scholar?cites=15635047405962216250&as_sdt=5,33&sciodt=0,33&hl=en&num=20",334,"2015-01-23",""
70,"JR Ray","Lagrangian density for perfect fluids in general relativity",1972,"Journal of Mathematical Physics","scitation.aip.org","http://scitation.aip.org/content/aip/journal/jmp/13/10/10.1063/1.1665861","http://scholar.google.com/scholar?cites=9132736610204725904&as_sdt=5,33&sciodt=0,33&hl=en&num=20",335,"2015-01-23",""
73,"G Clement","Stationary solutions in three-dimensional general relativity",1985,"International journal of theoretical physics","Springer","http://link.springer.com/article/10.1007/BF00669791","http://scholar.google.com/scholar?cites=12054343025542346114&as_sdt=5,33&sciodt=0,33&hl=en&num=20",336,"2015-01-23",""
190,"JS Bell","How to teach special relativity",1976,"","philpapers.org","","http://scholar.google.com/scholar?cites=9548516556796762655&as_sdt=5,33&sciodt=0,33&hl=en&num=20",337,"2015-01-23","CITATION"
85,"A Peres","On Cauchy's problem in general relativity-II",1962,"Il Nuovo Cimento Series 10","Springer","http://link.springer.com/article/10.1007/BF02754342","http://scholar.google.com/scholar?cites=7034003929838499989&as_sdt=5,33&sciodt=0,33&hl=en&num=20",338,"2015-01-23",""
83,"T Futamase","Approximation scheme for constructing a clumpy universe in general relativity",1988,"Physical review letters","APS","http://journals.aps.org/prl/abstract/10.1103/PhysRevLett.61.2175","http://scholar.google.com/scholar?cites=16331412343519719345&as_sdt=5,33&sciodt=0,33&hl=en&num=20",339,"2015-01-23",""
61,"R Geroch, PS Jang","Motion of a body in general relativity",1975,"Journal of Mathematical Physics","scitation.aip.org","","http://scholar.google.com/scholar?cites=2281297298737238716&as_sdt=5,33&sciodt=0,33&hl=en&num=20",340,"2015-01-23","CITATION"
144,"SM Carroll","Lecture notes on general relativity",1997,"arXiv preprint gr-qc/9712019","arxiv.org","http://arxiv.org/abs/gr-qc/9712019","http://scholar.google.com/scholar?cites=12304592081170639265&as_sdt=5,33&sciodt=0,33&hl=en&num=20",341,"2015-01-23",""
116,"B Dittrich","Partial and complete observables for canonical general relativity",2006,"Classical and Quantum Gravity","iopscience.iop.org","http://iopscience.iop.org/0264-9381/23/22/006","http://scholar.google.com/scholar?cites=7395227556569454374&as_sdt=5,33&sciodt=0,33&hl=en&num=20",342,"2015-01-23",""
1295,"S Deser, B Zumino","Consistent supergravity",1976,"Physics Letters B","Elsevier","http://www.sciencedirect.com/science/article/pii/0370269376900897","http://scholar.google.com/scholar?cites=4735376232866155657&as_sdt=5,33&sciodt=0,33&hl=en&num=20",343,"2015-01-23",""
86,"RT Cahill, K Kitto","… of Michelson-Morley experiments reveals agreement with COBE cosmic background radiation preferred frame so impacting on interpretation of general relativity",2002,"arXiv preprint physics/0205070","arxiv.org","http://arxiv.org/abs/physics/0205070","http://scholar.google.com/scholar?cites=174559474050371035&as_sdt=5,33&sciodt=0,33&hl=en&num=20",344,"2015-01-23",""
86,"FW Hehl, GD Kerlick","Metric-affine variational principles in general relativity. I. Riemannian space-time",1978,"General Relativity and Gravitation","Springer","http://link.springer.com/article/10.1007/BF00760141","http://scholar.google.com/scholar?cites=4742087149923218216&as_sdt=5,33&sciodt=0,33&hl=en&num=20",345,"2015-01-23",""
68,"B Linet","The static, cylindrically symmetric strings in general relativity with cosmological constant",1986,"Journal of mathematical physics","scitation.aip.org","","http://scholar.google.com/scholar?cites=10469901843617624878&as_sdt=5,33&sciodt=0,33&hl=en&num=20",346,"2015-01-23","CITATION"
82,"R Gambini, J Pullin","Canonical quantization of general relativity in discrete space-times",2003,"Physical review letters","APS","http://journals.aps.org/prl/abstract/10.1103/PhysRevLett.90.021301","http://scholar.google.com/scholar?cites=7046561750694412727&as_sdt=5,33&sciodt=0,33&hl=en&num=20",347,"2015-01-23",""
83,"HP Robertson","Note on the preceding paper: The two body problem in general relativity",1938,"Annals of Mathematics","JSTOR","http://www.jstor.org/stable/1968715","http://scholar.google.com/scholar?cites=9424013446072088309&as_sdt=5,33&sciodt=0,33&hl=en&num=20",348,"2015-01-23",""
129,"T Thiemann","Quantum spin dynamics (QSD): III. Quantum constraint algebra and physical scalar product in quantum general relativity",1998,"Classical and Quantum Gravity","iopscience.iop.org","http://iopscience.iop.org/0264-9381/15/5/010","http://scholar.google.com/scholar?cites=13690702914461059731&as_sdt=5,33&sciodt=0,33&hl=en&num=20",349,"2015-01-23",""
79,"UK De, AK Raychaudhuri","Static distribution of charged dust in general relativity",1968,"… of the Royal …","rspa.royalsocietypublishing.org","http://rspa.royalsocietypublishing.org/content/303/1472/97.short","http://scholar.google.com/scholar?cites=3606277974818591898&as_sdt=5,33&sciodt=0,33&hl=en&num=20",350,"2015-01-23",""
119,"R Geroch","Local characterization of singularities in general relativity",1968,"Journal of Mathematical Physics","scitation.aip.org","http://scitation.aip.org/content/aip/journal/jmp/9/3/10.1063/1.1664599","http://scholar.google.com/scholar?cites=13243453805231711259&as_sdt=5,33&sciodt=0,33&hl=en&num=20",351,"2015-01-23",""
90,"HE Puthoff","Polarizable-vacuum (PV) approach to general relativity",2002,"Foundations of Physics","Springer","http://link.springer.com/article/10.1023/A:1016011413407","http://scholar.google.com/scholar?cites=17157422968110203841&as_sdt=5,33&sciodt=0,33&hl=en&num=20",352,"2015-01-23",""
111,"E Cartan, A Magnon, A Ashtekar","On manifolds with an affine connection and the theory of general relativity",1986,"","catalog.enu.kz","","http://scholar.google.com/scholar?cites=11675218340792078789&as_sdt=5,33&sciodt=0,33&hl=en&num=20",353,"2015-01-23","BOOK"
91,"C Eling, T Jacobson","Static post-Newtonian equivalence of general relativity and gravity with a dynamical preferred frame",2004,"Physical Review D","APS","http://journals.aps.org/prd/abstract/10.1103/PhysRevD.69.064005","http://scholar.google.com/scholar?cites=9602488278471620594&as_sdt=5,33&sciodt=0,33&hl=en&num=20",354,"2015-01-23",""
89,"R Arnowitt, S Deser, CW Misner","Consistency of the canonical reduction of general relativity",1960,"Journal of Mathematical Physics","scitation.aip.org","http://scitation.aip.org/content/aip/journal/jmp/1/5/10.1063/1.1703677","http://scholar.google.com/scholar?cites=6590878739711199218&as_sdt=5,33&sciodt=0,33&hl=en&num=20",355,"2015-01-23",""
59,"NV Mitskevich","Physical fields in general relativity",1969,"Nauka Eds., Moscow, 1969, 326 pp.(Russian …","adsabs.harvard.edu","http://adsabs.harvard.edu/abs/1969fpoo.book..326M","http://scholar.google.com/scholar?cites=7180829614792272109&as_sdt=5,33&sciodt=0,33&hl=en&num=20",356,"2015-01-23",""
91,"C Rovelli","GPS observables in general relativity",2002,"Physical Review D","APS","http://journals.aps.org/prd/abstract/10.1103/PhysRevD.65.044017","http://scholar.google.com/scholar?cites=2899549417346792459&as_sdt=5,33&sciodt=0,33&hl=en&num=20",357,"2015-01-23",""
