Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type
2503,"A Einstein","The meaning of relativity",2003,"","books.google.com","","http://scholar.google.com/scholar?cites=11457595862006272228&as_sdt=5,33&sciodt=0,33&hl=en&num=20",1,"2014-11-21","BOOK"
1969,"A Einstein","Relativity: The special and general theory",1920,"","books.google.com","","http://scholar.google.com/scholar?cites=6260380372219921579&as_sdt=5,33&sciodt=0,33&hl=en&num=20",2,"2014-11-21","BOOK"
1709,"A Einstein, L Infeld","The evolution of physics: the growth of ideas from early concepts to relativity and quanta",1961,"","books.google.com","","http://scholar.google.com/scholar?cites=598910928436462160&as_sdt=5,33&sciodt=0,33&hl=en&num=20",3,"2014-11-21","BOOK"
1001,"A Einstein, FA Davis","The principle of relativity",2013,"","books.google.com","","http://scholar.google.com/scholar?cites=10222925839632055980&as_sdt=5,33&sciodt=0,33&hl=en&num=20",4,"2014-11-21","BOOK"
591,"A Einstein","The foundation of the general theory of relativity",1952,"The Principle of Relativity. Dover Books on Physics. …","adsabs.harvard.edu","","http://scholar.google.com/scholar?cites=10370726229868636479&as_sdt=5,33&sciodt=0,33&hl=en&num=20",5,"2014-11-21","CITATION"
538,"A Einstein, N Rosen","The particle problem in the general theory of relativity",1935,"Physical Review","APS","http://journals.aps.org/pr/abstract/10.1103/PhysRev.48.73","http://scholar.google.com/scholar?cites=12603935438060482309&as_sdt=5,33&sciodt=0,33&hl=en&num=20",6,"2014-11-21",""
327,"A Einstein","The meaning of relativity",1950,"… of the Generalised Theory of Relativity 22","upload.wikimedia.org","http://upload.wikimedia.org/wikisource/en/5/55/On_a_Heuristic_Point_of_View_about_the_Creation_and_Conversion_of_Light_(1).pdf#page=91","http://scholar.google.com/scholar?cites=7196463446640404215&as_sdt=5,33&sciodt=0,33&hl=en&num=20",7,"2014-11-21",""
219,"A Einstein, L Infeld","On the motion of particles in general relativity theory",1949,"Can. J. Math","","","http://scholar.google.com/scholar?cites=11297380142429183414&as_sdt=5,33&sciodt=0,33&hl=en&num=20",8,"2014-11-21","CITATION"
191,"A Einstein, A Press","What is the Theory of Relativity?",2005,"","bonus.manualsforall.com","","http://scholar.google.com/scholar?cites=11864665430321786178&as_sdt=5,33&sciodt=0,33&hl=en&num=20",9,"2014-11-21","BOOK"
222,"A Einstein","Cosmological considerations on the general theory of relativity",1952,"The Principle of Relativity. Dover Books on Physics. …","adsabs.harvard.edu","","http://scholar.google.com/scholar?cites=2568546474801535936&as_sdt=5,33&sciodt=0,33&hl=en&num=20",10,"2014-11-21","CITATION"
